자치구,행정동,전입수,전출수,전입비율,전출비율
성동구,금호2.3가동,3677,4058,0.15393310168711014,0.16988320006698204
성동구,금호4가동,3170,2237,0.21726465851067475,0.15331894040642885
성동구,마장동,3443,3488,0.148809266542767,0.1507542032242728
성동구,사근동,3050,2623,0.2719087099937595,0.23384149059463313
성동구,성수1가1동,2759,2960,0.1623561950157413,0.1741842469179392
성동구,성수1가2동,2235,2923,0.1453705811571108,0.19012000390256595
성동구,성수2가1동,2374,2899,0.1356997913629998,0.16570922289862527
성동구,성수2가3동,2099,2248,0.18497466402291254,0.19810530953954616
성동구,송정동,1423,1640,0.1277837643678161,0.14727011494252873
성동구,옥수동,3867,4000,0.14531584683025817,0.15031378001578294
성동구,왕십리2동,2548,2673,0.1464367816091954,0.15362068965517242
성동구,왕십리도선동,4020,3931,0.15024667364329497,0.14692031693825683
성동구,용답동,2036,3070,0.13770713561041595,0.20764288129861347
성동구,응봉동,2137,2473,0.13155626692932776,0.15224082738241812
성동구,행당1동,4618,2350,0.31113356914266466,0.15832912245241704
성동구,행당2동,3149,3581,0.12685560053981107,0.14425846476121418
성북구,길음1동,4296,4397,0.11561129201539332,0.11832934147851126
성북구,길음2동,1512,2063,0.13150113063141416,0.1794225082623065
성북구,돈암1동,1857,2215,0.1142347440944882,0.13625738188976377
성북구,돈암2동,2846,2899,0.11427194796330128,0.11639999196964526
성북구,동선동,3331,3599,0.21789756001831623,0.23542879570877215
성북구,보문동,2440,2692,0.1480807161280534,0.1633742982855409
성북구,삼선동,3861,3989,0.14858858165444785,0.15351459523946967
성북구,석관동,4062,4591,0.12334507469938054,0.13940847807603546
성북구,성북동,2608,2728,0.1535879391066223,0.1606548688201172
성북구,안암동,3287,3390,0.22022712806941142,0.22712806941141
성북구,월곡1동,3011,3328,0.11024861777305847,0.12185566255354985
성북구,월곡2동,3177,3298,0.15977670488835244,0.16586199959766645
성북구,장위1동,2611,2687,0.1262206323117084,0.12989461471526637
성북구,장위2동,1429,4772,0.08864764267990075,0.29602977667493796
성북구,장위3동,1583,2207,0.13773601322544157,0.1920299312625076
성북구,정릉1동,2333,2640,0.1303461183898092,0.14749839372014414
성북구,정릉2동,2988,3259,0.12551457615727127,0.1368982609426195
성북구,정릉3동,2299,2510,0.1471077553109803,0.1606091630406962
성북구,정릉4동,2933,3294,0.11058952170880229,0.12420111984616254
성북구,종암동,4683,4919,0.1160450997398092,0.1218931978689134
송파구,가락1동,313,100,0.38054711246200607,0.12158054711246201
송파구,가락2동,4526,4828,0.13327836508731117,0.14217144203303983
송파구,가락본동,4483,4578,0.16310418220516273,0.1665605501082389
송파구,거여1동,1880,1997,0.1434512227690664,0.15237877227118385
송파구,거여2동,1835,2471,0.10712513500102162,0.14425406462535392
송파구,마천1동,2308,2963,0.10903250188964475,0.13997543461829176
송파구,마천2동,2531,2697,0.12508957916326885,0.13329379494402846
